,Title,Area,Location,Bookmarks,Positive Review,Negative Review,Review Count,PriceRange,Genre
3053,Nan Ei Sui San 南瀛水產,Tsim Sha Tsui,"5/F, Tern Plaza, 3A-3C Cameron Road, Tsim Sha Tsui",40498,,,,$201-400,"['Japanese', 'Seafood']"
3054,Tian Jian IZAKAYA 天澗居酒屋,Yuen Long,"G/F, 79&81 Kau Yuk Road, Yuen Long",2897,,,,$201-400,"['Japanese', 'Izakaya']"
3055,Hana-Musubi 華御結,Sha Tin,"Shop SHT 24, Sha Tin MTR Station, Sha Tin",176,9,0,(22 Reviews),Below $50,"['Japanese', 'Sushi/Sashimi']"
3056,Wada Bento 和田便當,Sha Tin,"Lobby, G/F, Building 19W, 19 Science Park W Ave, Phase 2, Hong Kong Science Park, Pak Shek Kok, Sha Tin",62,8,0,(8 Reviews),$51-100,"['Japanese', 'Vending Machine']"
3057,Tengachaya 天下茶屋,Sha Tin,"Shop G059A & G060A-B, G/F, Fortune City One, 1-2 Ngan Shing Street, Sha Tin",640,4,0,(12 Reviews),$51-100,"['Japanese', 'Curry']"
3058,Uo-Show 魚尚,Sha Tin,"Shop 15, 1/F, Citylink, 1 Sha Tin Station Circuit, Sha Tin",282,7,1,(22 Reviews),Below $50,"['Japanese', 'Sushi/Sashimi']"
3059,博多屋,Sha Tin,"city'super, 2/F, New Town Plaza Phase 1, 18 Sha Tin Centre Street, Sha Tin",413,3,0,(3 Reviews),Below $50,['Japanese']
3060,QUE (新城市廣場),Sha Tin,"Shop 126, 1/F, New Town Plaza Phase 1, 18 Centre Street, Sha Tin",204,2,1,(3 Reviews),$101-200,"['Japanese', 'Yoshoku']"
3061,Italian Tomato Café (沙田第一城),Sha Tin,"Shop G45-G46, G/F, Cityone Plaza, 1-2 Ngan Shing Street, Sha Tin",629,11,5,(25 Reviews),$51-100,"['Japanese', 'Coffee Shop']"
3062,Mon cher,Sha Tin,"City’super, Shop 204-214, 2/F, New Town Plaza Phase 1, 18 Centre Street, Sha Tin",125,3,1,(4 Reviews),$51-100,"['Japanese', 'Bakery']"
3063,壹心芝脆小食,Sha Tin,"Shop 113, 1/F, Kings Wing Plaza II, 1 On Kwan Street, Sha Tin",265,4,0,(5 Reviews),Below $50,"['Japanese', 'Snack Shop & Deli']"
3064,Genki Sushi 元気寿司,Sha Tin,"Shop 502, 5/F, Home Square, 138 Sha Tin Rural Committee Road, Sha Tin",339,6,0,(14 Reviews),$101-200,"['Japanese', 'Sushi/Sashimi']"
3065,Tokyo Chikara Meshi 東京チカラめし,Sha Tin,"Shop S085- S086, G/F, 12E Hong Kong Science Park, Pak Shek Kok, Sha Tin",451,1,0,(10 Reviews),Below $50,"['Japanese', 'Fast Food']"
3066,千之瀧日本料理,沙田,沙田崗背街9-11號全輝中心B座17舖,584,34,7,(61 Reviews),$101-200,['Japanese']
3067,Genki Sushi 元気寿司,Sha Tin,"Shop 183, 3/F, Shatin Lucky Plaza, 1-15 Wang Pok Street, Sha Tin",580,6,2,(20 Reviews),$101-200,"['Japanese', 'Sushi/Sashimi']"
3068,MOS Burger,Sha Tin,"Shop G86, G87A&G87B, G/F, Fortune City One, 1-2 Ngan Shing Street, Sha Tin",149,2,0,(4 Reviews),Below $50,"['Japanese', 'Hamburger']"
3069,Chateraise,Sha Tin,"Shop G84, G/F, Fortune City One Plus, 1-2 Ngan Shing Street, Sha Tin",196,2,0,(4 Reviews),$51-100,"['Japanese', 'Bakery']"
3070,Wagyu Yakiniku Ichiro (All Branches) 和牛燒肉一郎 (寶漢大廈),,3 branches,,,,,$201-400,"['Japanese', 'BBQ']"
3071,Yakitoriya Hon 燒鳥屋本,Tsim Sha Tsui,"Shop B2, G/F, Carnival Mansion, 15B Austin Avenue, Tsim Sha Tsui",1083,,,,$101-200,"['Japanese', 'Skewer']"
3072,Ryou Dou Raku 漁道樂,Tsim Sha Tsui,"Shop A, G/F, Kimberley House, 35 Kimberley Road, Tsim Sha Tsui",20437,,,,$401-800,"['Japanese', 'Seafood']"
3073,Sushi Take-Out 爭鮮外帶壽司,Sha Tin,"Shop 6A, 3/F, Shatin Lucky Plaza, 1-15 Wang Pok Street, Sha Tin",130,2,0,(3 Reviews),Below $50,"['Japanese', 'Sushi/Sashimi']"
3074,TIRODO 茶古道,Sha Tin,"Shop 3, Retail Floor, Citylink , 1 Shatin Station Circuit, Sha Tin",75,3,2,(12 Reviews),Below $50,"['Japanese', 'Taiwanese Drink']"
3075,Royce' Chocolate,Sha Tin,"Shop 204-214, 2/F, New Town Plaza Phase 1, 18 Sha Tin Centre Street, Sha Tin",420,14,0,(18 Reviews),$51-100,"['Japanese', 'Chocolate/Candy Shop']"
3076,Izumi Curry,Sha Tin,"Yata Shatin Department Store, 3/F, New Town Plaza Phase 3, 18 Sha Tin Centre Street, Sha Tin",282,,7,(30 Reviews),$51-100,"['Japanese', 'Curry']"
3077,鮨味居,Sha Tin,"Unit 6, 7/F, Block B, New Trade Plaza, 6 On Ping Street, Sha Tin",496,3,0,(4 Reviews),$401-800,"['Japanese', 'Sushi/Sashimi']"
3078,Yoshinoya 吉野家,Sha Tin,"Shop 108, 109, 109A1, Level 3, Lucky Plaza, Sha Tin",373,21,3,(48 Reviews),Below $50,"['Japanese', 'Fast Food']"
3079,Genki Sushi 元気寿司,Sha Tin,"Shop 230, 2/F, Wo Che Plaza, Sha Tin",295,8,0,(21 Reviews),$101-200,"['Japanese', 'Sushi/Sashimi']"
3080,燒一番,Sha Tin,"Shop 22A2, 3/F, Sha Tin Centre, 2-16 Wang Pok Street, Sha Tin",153,3,2,(9 Reviews),Below $50,"['Japanese', 'Snack Shop & Deli']"
3081,Tezukuri No Mise 手作之店,Sha Tin,"Shop 59B, 3/F, Shatin Plaza, 21-27 Sha Tin Centre Street, Sha Tin",170,4,0,(8 Reviews),Below $50,"['Japanese', 'Ice Cream/yogurt']"
3082,Kyoto Japanese Restaurant 京都,Sha Tin,"Shop 226-227, 2/F, Kings Wing Plaza 1, 3 On Kwan Street, Shek Mun, Sha Tin",814,12,9,(56 Reviews),$51-100,['Japanese']
3083,Wanjia 碗家,Sha Tin,"Shop 9, G/F, Greenwood Garden, 7-11 Sha Kok Street, Sha Tin",42,2,1,(5 Reviews),Below $50,"['Japanese', 'Ramen']"
3084,Pop Sushi 手卷駅,Sha Tin,"Shop 38, G/F, Red Market, Kwong Yuen Estate, 68 Siu Lek Yuen Road, Sha Tin",75,1,0,(1 Reviews),Below $50,"['Japanese', 'Sushi/Sashimi']"
3085,Gin Curry (Wo Che Plaza) 銀咖哩 (禾輋廣場),Sha Tin,"Shop 248-250, 2/F, Wo Che Plaza, 3 Tak Hau Street, Sha Tin",85,1,0,(2 Reviews),Below $50,"['Japanese', 'Curry']"
3086,ToRisen,Sha Tin,"Yata Supermarket, 1/F, New Town Plaza Phase 3, 18 Sha Tin Centre Street, Sha Tin",184,3,1,(9 Reviews),Below $50,['Japanese']
3087,Hana-Musubi 華御結,Sha Tin,"Shop G11, G/F, Fortune City One, 1 Ngan Shing Street, Sha Tin",58,1,0,(1 Reviews),Below $50,"['Japanese', 'Sushi/Sashimi']"
3088,N.28 Teppanyaki,Tsim Sha Tsui,"G/F, Kam Wing Commercial Building, 28 Minden Ave, Tsim Sha Tsui",1266,,,,$401-800,"['Japanese', 'Teppanyaki']"
3089,Ryou Dou Raku 漁道樂,Tsim Sha Tsui,"Shop A, G/F, Kimberley House, 35 Kimberley Road, Tsim Sha Tsui",20437,,,,$401-800,"['Japanese', 'Seafood']"
3090,Wagyu Yakiniku Ichiro (All Branches) 和牛燒肉一郎 (寶漢大廈),,3 branches,,,,,$201-400,"['Japanese', 'BBQ']"
3091,十和田壽司 (科學園店),Sha Tin,"Shop S067-S069, G/F, Enterprise Place, 5 Science Park West Avenue, Phase 1, Hong Kong Science Park, Pak Shek Kok, Sha Tin",70,,1,(3 Reviews),$101-200,"['Japanese', 'Sushi/Sashimi']"
3092,Meat Deli,Sha Tin,"city'super, 2/F, New Town Plaza Phase 1, 18 Sha Tin Centre Street, Sha Tin",140,,1,(4 Reviews),$101-200,"['Japanese', 'Hamburger']"
3093,Yamazaki Bakery 山崎麵飽,Sha Tin,"Shop R9, G/F, Wo Che Plaza, Wo Che Estate, 3 Tak Hau Street, Sha Tin",22,1,0,(1 Reviews),Below $50,"['Japanese', 'Bakery']"
3094,Yoshinoya 吉野家,Sha Tin,"Shop 128-129, 1/F, Fortune City One, 1 Ngan Shing Street, Sha Tin",246,10,4,(25 Reviews),Below $50,"['Japanese', 'Fast Food']"
3095,MatsuyaHouse (Kings Wing Plaza) 松屋 (京瑞廣場),Sha Tin,"Shop 141-B2, OK Mall, 1/F, Kings Wing Plaza 2, 3 On Kwan Street, Shek Mun, Sha Tin",211,,1,(5 Reviews),Below $50,"['Japanese', 'Udon']"
3096,Ruysdael,Sha Tin,"Yata Supermarket, 1/F, New Town Plaza Phase 3, 18 Sha Tin Centre Street, Sha Tin",58,1,0,(1 Reviews),$51-100,"['Japanese', 'Chocolate/Candy Shop']"
3097,Sushi Take-Out 爭鮮外帶壽司,Sha Tin,"Shop CI02, City One MTR Station, Sha Tin",127,1,0,(4 Reviews),Below $50,"['Japanese', 'Sushi/Sashimi']"
3098,MUJI 無印良品,Sha Tin,"Shop 249, 2/F, New Town Plaza Phase 1 18 Sha Tin Centre Street, Sha Tin",85,,,,Below $50,"['Japanese', 'Snack Shop & Deli']"
3099,Yamazaki Bakery 山崎麵飽,Sha Tin,"Shop CI010, City One MTR Station, Sha Tin",65,4,0,(10 Reviews),Below $50,"['Japanese', 'Bakery']"
3100,壽司達人,Sha Tin,"Shop 54, G/F, Freshall, Sha Kok Estate, 5 Sha Kok Street, Sha Tin",9,,,,$51-100,"['Japanese', 'Sushi/Sashimi']"
3101,Yamazaki Bakery 山崎麵飽,Sha Tin,"Shop STW9, Sha Tin Wai MTR Station, Sha Tin",31,1,0,(4 Reviews),Below $50,"['Japanese', 'Bakery']"
3102,Mikami Okonomiyaki 三上大阪燒,Sha Tin,"Shop 102A1-05, 1/F, Kings Wing Plaza 2, 3 On Kwan Street, Shek Mun, Sha Tin",59,2,0,(4 Reviews),$51-100,"['Japanese', 'Fast Food']"
3103,Hanshin 阪神,Sha Tin,"Shop 25M, 3/F, Shatin Centre, 2-16 Wang Pok Street, Sha Tin",76,2,0,(4 Reviews),Below $50,"['Japanese', 'Teppanyaki']"
3104,Mikiya グルメ三木屋,Sha Tin,"Shop 101, 1/F, Building 17W, 17 Science Park West Avenue, Sha Tin",57,,,(2 Reviews),$51-100,['Japanese']
3105,Uo-Show 魚尚,Sha Tin,"Shop G3, G/F, Fortune City One, 1 Ngan Shing Street, Sha Tin",7,,,,Below $50,"['Japanese', 'Sushi/Sashimi']"
3106,Yakitoriya Hon 燒鳥屋本,Tsim Sha Tsui,"Shop B2, G/F, Carnival Mansion, 15B Austin Avenue, Tsim Sha Tsui",1083,,,,$101-200,"['Japanese', 'Skewer']"
3107,Wagyu Yakiniku Ichiro (All Branches) 和牛燒肉一郎 (寶漢大廈),,3 branches,,,,,$201-400,"['Japanese', 'BBQ']"
3108,N.28 Teppanyaki,Tsim Sha Tsui,"G/F, Kam Wing Commercial Building, 28 Minden Ave, Tsim Sha Tsui",1266,,,,$401-800,"['Japanese', 'Teppanyaki']"
3109,Luna Cake,Sha Tin,"Shop Kiosk 609B, 6/F,  New Town Plaza Phase 1, 18-19 Sha Tin Centre Street, Sha Tin",44,,,,$51-100,"['Japanese', 'Dessert']"
3110,瀛東,Sha Tin,"Shop 24-25, G/F, Chun Shek Market, 1 Shing Tin Street, Sha Tin",18,,,(4 Reviews),$51-100,"['Japanese', 'Sushi/Sashimi']"
3111,Hana-Musubi (Hong Kong Science Park) 華御結 (香港科學園),Sha Tin,"Shop S012, G/F, Core Building 2, 1 Science Park E Ave, Phase 1, Hong Kong Science Park, Pak Shek Kok, Sha Tin",32,,,,Below $50,"['Japanese', 'Sushi/Sashimi']"
3112,Hana-Musubi 華御結,Sha Tin,"Shop A212, 2/F, New Town Plaza Phase III, 18 Sha Tin Centre Street, Sha Tin",47,,,,Below $50,"['Japanese', 'Sushi/Sashimi']"
3113,Beard Papa's,Sha Tin,"Shop ST-01-004, YATA Department Store, 1/F, Phase 3, New Town Plaza, 18 Sha Tin Centre Street, Sha Tin",107,1,0,(1 Reviews),Below $50,"['Japanese', 'Bakery']"
3114,Sushi Take-Out (Sha Tin Station) 爭鮮外帶壽司 (沙田站),Sha Tin,"Shop SHT 35, Sha Tin Station,, Sha Tin",22,,,,Below $50,"['Japanese', 'Sushi/Sashimi']"
3115,菓子の本家 (沙田站),Sha Tin,"Shop 23, Sha Tin MTR Station, Sha Tin",12,,,,$51-100,"['Japanese', 'Snack Shop & Deli']"
3116,魚兵衛,Sha Tin,"Yata Supermarket, 1/F, New Town Plaza Phase 3, 18 Sha Tin Centre Street, Sha Tin",37,,,,$51-100,"['Japanese', 'Sushi/Sashimi']"
3117,Hachiban Ramen 8番拉麵,Sha Tin,"YATA Department Store, 1/F, New Town Plaza Phase 3, 18 Sha Tin Centre Street, Sha Tin",66,,,,$51-100,"['Japanese', 'Ramen']"
3118,Hana-Musubi 華御結,Sha Tin,"G/F, Metropole Square, 2 On Yiu Street, Sha Tin",13,,,,Below $50,"['Japanese', 'Sushi/Sashimi']"
3119,知味駅 (Moved),Sha Tin,"Shop 2, Yu Chui Court Market, 2 Ngau Pei Sha Street, Sha Tin",384,13,0,(17 Reviews),Below $50,"['Japanese', 'Vegetarian']"
3120,Hana-Musubi 華御結 (Moved),Sha Tin,"Shop K001, G/F, Core Building 1, 1 Science Park E Ave, Phase 1, Hong Kong Science Park, Pak Shek Kok, Sha Tin",130,5,0,(6 Reviews),Below $50,"['Japanese', 'Sushi/Sashimi']"
3121,UCC Coffee Shop (Moved),Sha Tin,"Shop 390, 3/F, New Town Plaza Phase 1, 18 Sha Tin Centre Street, Sha Tin",369,86,19,(151 Reviews),$101-200,"['Japanese', 'Coffee Shop']"
3122,Genki Sushi 元気寿司 (Moved),Sha Tin,"Shop A197a, 1/F, New Town Plaza Phase 3, 18 Sha Tin Centre Street, Sha Tin",183,62,9,(103 Reviews),$101-200,"['Japanese', 'Sushi/Sashimi']"
3123,Yoshinoya 吉野家 (Moved),Sha Tin,"Shop 50, G/F., City One, Sha Tin",48,15,1,(28 Reviews),Below $50,"['Japanese', 'Fast Food']"
3124,Yakitoriya Hon 燒鳥屋本,Tsim Sha Tsui,"Shop B2, G/F, Carnival Mansion, 15B Austin Avenue, Tsim Sha Tsui",1083,,,,$101-200,"['Japanese', 'Skewer']"
3125,Ryou Dou Raku 漁道樂,Tsim Sha Tsui,"Shop A, G/F, Kimberley House, 35 Kimberley Road, Tsim Sha Tsui",20437,,,,$401-800,"['Japanese', 'Seafood']"
3126,Nan Ei Sui San 南瀛水產,Tsim Sha Tsui,"5/F, Tern Plaza, 3A-3C Cameron Road, Tsim Sha Tsui",40498,,,,$201-400,"['Japanese', 'Seafood']"
3127,Hachiban Ramen 8番拉麵 (Moved),Sha Tin,"3/F, New Town Plaza Phase 3, 18 Sha Tin Centre Street, Sha Tin",490,19,10,(53 Reviews),$51-100,"['Japanese', 'Ramen']"
3128,Hokkaido Syokudo 北海道食堂 (Under Renovation),Sha Tin,"Shop 50 & 57, 3/F, Shatin Centre, 2-16 Wang Pok Street, Sha Tin",6306,269,32,(351 Reviews),$101-200,['Japanese']
3129,Guy-Kaku Buffet 牛角Buffet (Under Renovation),Sha Tin,"Shop 3078-3079, 3/F, Lucky Plaza, 1-15 Wang Pok Street, Sha Tin",1,,,,$201-400,"['Japanese', 'Roast Meat']"
3130,Sushiro 壽司郎 (Under Renovation),Sha Tin,"Shop 227, 2/F, Wo Che Plaza, Wo Che Estate, 3 Tak Hau Street, Sha Tin",61,,,,$101-200,"['Japanese', 'Sushi/Sashimi']"
3131,Sugidama 杉玉 (Under Renovation),Sha Tin,"Shop 32A & 69A, 3/F, Shatin Centre Shopping Arcade, 2-16 Wang Pok Street, Sha Tin",40,,,,$101-200,"['Japanese', 'Sushi/Sashimi']"
3132,Ryou Dou Raku 漁道樂,Tsim Sha Tsui,"Shop A, G/F, Kimberley House, 35 Kimberley Road, Tsim Sha Tsui",20437,,,,$401-800,"['Japanese', 'Seafood']"
3133,Tian Jian IZAKAYA 天澗居酒屋,Yuen Long,"G/F, 79&81 Kau Yuk Road, Yuen Long",2897,,,,$201-400,"['Japanese', 'Izakaya']"
3134,THE HUNTER,Tseung Kwan O,"Shop 11, G/F, Alto Residences, 29 Tong Yin Street, Tseung Kwan O",13441,,,,$201-400,"['Mediterranean', 'International']"
3135,Taisyou 大將,Tseung Kwan O,"Shop F10, 1/F, PopCorn, 9 Tong Yin Street, Tseung Kwan O",16107,435,16,(521 Reviews),$201-400,"['Japanese', 'Hot Pot']"
3136,Sushi Tokumi (Metro City Plaza Phase 1) 德美壽司 (新都城中心1期),Tseung Kwan O,"Shop 99-100. G/F, Phase 1, Metro City Plaza, 8 Mau Yip Road, Tseung Kwan O",5310,339,8,(405 Reviews),$101-200,"['Japanese', 'Sushi/Sashimi']"
3137,Wagyu Yakiniku Ichiro (MCP Central) 和牛燒肉一郎 (新都城中心2期),Tseung Kwan O,"Shop 1040-41, 1/F, MCP Central, 8 Mau Yip Road, Tseung Kwan O",5078,220,27,(277 Reviews),$201-400,"['Japanese', 'BBQ']"
3138,Hana Raku 花楽,Tseung Kwan O,"Shop G23, G/F, Papillons Square, 21 Tong Chun Street, Tseung Kwan O",12695,296,9,(341 Reviews),$201-400,"['Japanese', 'Ramen']"
3139,Tsukada Shokudo 塚田食堂,Tseung Kwan O,"Shop 181, 1/F, East Point City Shopping Arcade, 8 Chung Wa Road, Hang Hau, Tseung Kwan O",5471,184,10,(217 Reviews),$101-200,['Japanese']
3140,Kushiyaki House & Bar 緻,Tseung Kwan O,"Shop 6A, 1/F, MONTEREY Place , 23 Tong Chun Street, O'South Coast, Tseung Kwan O",5797,172,5,(198 Reviews),$101-200,"['Japanese', 'Wine']"
3141,UCHI 屋子,Tseung Kwan O,"Shop 16, G/F, MONTEREY Place, 23 Tong Chun Street, Tseung Kwan O",6978,127,11,(209 Reviews),$51-100,"['Japanese', 'Dessert']"
3142,Umimachidon (East Point City) 海街丼 (東港城),Tseung Kwan O,"Shop 186, 1/F, East Point City, 8 Chung Wa Road, Tseung Kwan O",4137,104,6,(138 Reviews),$101-200,"['Japanese', 'Sushi/Sashimi']"
3143,Teppanyaki Mihara 三原,Tseung Kwan O,"SHOP G06, The parkside, 18 Tong Chun Street, Tseung Kwan O",6192,89,7,(122 Reviews),$401-800,"['Japanese', 'Teppanyaki']"
3144,Jinseki Steak and Seafood (East Point City) 神石燒牛扒水產專門店 (東港城),Tseung Kwan O,"Shop 265, 2/F, East Point City, 8 Chung Wa Road, Tseung Kwan O",7052,70,4,(101 Reviews),$101-200,"['Japanese', 'Teppanyaki']"
3145,Isana Kushiro (Park Central) 漁釧 (將軍澳中心),Tseung Kwan O,"Shop G89, G/F, Park Central, 9 Tong Tak Street, Tseung Kwan O",3974,84,11,(148 Reviews),$201-400,"['Japanese', 'Ramen']"
3146,Nakitora Ramen 鳴虎,Tseung Kwan O,"Shop 161-162, 169&171-174, 1/F, MCP Discovery, 8 Mau Yip Road, Tseung Kwan O",375,43,0,(50 Reviews),$51-100,"['Japanese', 'Ramen']"
3147,Yakiniku King 燒肉 帝,Tseung Kwan O,"Shop 334, 3/F, The LOHAS, 1 Lohas Park Road, Tseung Kwan O",1067,55,2,(62 Reviews),$201-400,"['Japanese', 'BBQ']"
3148,Sushiro 壽司郎,Tseung Kwan O,"Shop W101A, 1/F, West Wing, TKO Gateway, 2 Sheung Ning Street, Tseung Kwan O",1862,36,1,(49 Reviews),$101-200,"['Japanese', 'Sushi/Sashimi']"
3149,Washou Japanese Bar & Kitchen 和將居酒小廚,Tseung Kwan O,"Shop G02B & G05A, G/F, The Parkside Mall, 18 Tong Chun Street, Tseung Kwan O",805,44,0,(47 Reviews),$51-100,"['Japanese', 'Sushi/Sashimi']"
3150,Ryou Dou Raku 漁道樂,Tsim Sha Tsui,"Shop A, G/F, Kimberley House, 35 Kimberley Road, Tsim Sha Tsui",20437,,,,$401-800,"['Japanese', 'Seafood']"
3151,Tian Jian IZAKAYA 天澗居酒屋,Yuen Long,"G/F, 79&81 Kau Yuk Road, Yuen Long",2897,,,,$201-400,"['Japanese', 'Izakaya']"
3152,Ga Ten Japanese Restaurant 賀天,Tseung Kwan O,"Shop 104-105, 1/F, Ocean PopWalk, 28 Tong Chun Street, Tseung Kwan O",4501,,,,$101-200,['Japanese']
3153,Katachi Bar & Kushiyaki (Ocean Popwalk) 形 (海天晉滙),Tseung Kwan O,"Shop G08, G/F, Ocean Popwalk, 28 Tong Chun Street, Tseung Kwan O",2430,49,2,(63 Reviews),$401-800,"['Japanese', 'Wine']"
3154,Tontonbyoushi & Karami Curry 麵屋豚豚拍子 x 辛味屋,Tseung Kwan O,"Shop 2003-5, 2/F, MCP Central, 8 Mau Yip Road, Tseung Kwan O",2251,95,14,(165 Reviews),$51-100,"['Japanese', 'Ramen']"
3155,Medium Rare Steak (Park Central) 岩盤牛扒 ミディアムレア ステーキ (將軍澳中心),Tseung Kwan O,"Shop 173, 1/F, Park Central, 9 Tong Tak Street, Tseung Kwan O",1574,52,7,(70 Reviews),$51-100,"['Japanese', 'Teppanyaki']"
3156,Ga Ten Japanese Restaurant 賀天,Tseung Kwan O,"Shop 104-105, 1/F, Ocean PopWalk, 28 Tong Chun Street, Tseung Kwan O",4501,24,0,(39 Reviews),$101-200,['Japanese']
3157,Daimon Shokudo (TKO Plaza) 大門食堂 (將軍澳廣場),Tseung Kwan O,"Shop L209, AEON, 2/F, TKO Plaza, 1 Tong Tak Street, Tseung Kwan O",3193,87,7,(147 Reviews),$51-100,"['Japanese', 'Ramen']"
3158,Gyu-Kaku (East Point City) 牛角日本燒肉專門店 (東港城),Tseung Kwan O,"Shop 183, 1/F, East Point City, 8 Chung Wa Road, Tseung Kwan O",4058,38,8,(73 Reviews),$201-400,"['Japanese', 'Roast Meat']"
3159,SuFureWa Pancakes (Yuk Nga Ln) 有料案內所 (毓雅里),Tseung Kwan O,"Shop 1, G/F, Finery Garden, 7 Yuk Nga Ln, Tseung Kwan O",2133,27,2,(41 Reviews),Below $50,"['Japanese', 'Dessert']"
3160,Yamaichi 山一,Tseung Kwan O,"Shop 319, 3/F, The LOHAS, 1 Lohas Park Road, Tseung Kwan O",3649,30,6,(65 Reviews),$201-400,"['Japanese', 'Sushi/Sashimi']"
3161,Oreryu Shio Ramen (East Point City) 俺流塩らーめん (東港城),Tseung Kwan O,"Shop 227, 2/F, East Point City, 8 Chung Wa Road, Tseung Kwan O",4119,56,7,(125 Reviews),$51-100,"['Japanese', 'Ramen']"
3162,Sushi Senju (PopCorn) 鮨千寿 (PopCorn),Tseung Kwan O,"Shop F16, 1/F, Popcorn, 9 Tong Tak Street, Tseung Kwan O",5633,29,11,(73 Reviews),$201-400,"['Japanese', 'Robatayaki']"
3163,Tenya 天丼,Tseung Kwan O,"Shop 216, 2/F, East Point City Shopping Arcade, Chung Wa Road, Hang Hau, Tseung Kwan O",1299,23,3,(37 Reviews),$51-100,['Japanese']
3164,Ankayama 赤本山,Tseung Kwan O,"Shop G07A, G/F, SAVANNAH Place, O'South Coast, 3 Chi Shin Street, Tseung Kwan O",918,39,0,(39 Reviews),$201-400,"['Japanese', 'Sushi/Sashimi']"
3165,Wagyu More Plus (MCP Central) 牛摩+ (新都城中心2期),Tseung Kwan O,"Shop 2060-2062, 2/F, MCP Central, 8 Mau Yip Road, Tseung Kwan O",1490,34,4,(53 Reviews),$101-200,"['Japanese', 'Hot Pot']"
3166,ANA ZAKKA (Park Central) 穴の酒販 (將軍澳中心),Tseung Kwan O,"Shop G27-28, G/F, Park Central, 9 Tong Tak Street, Tseung Kwan O",4682,34,7,(58 Reviews),$101-200,"['Japanese', 'Izakaya']"
3167,Hachi Sawa 八沢,Tseung Kwan O,"Shop 5A, 1/F, MONTEREY PLACE, 23 Tong Chun Street, Tseung Kwan O",1948,85,3,(108 Reviews),$51-100,"['Japanese', 'Udon']"
3168,Wagyu Yakiniku Ichiro (MCP Central) 和牛燒肉一郎 (新都城中心2期),Tseung Kwan O,"Shop 1040-41, 1/F, MCP Central, 8 Mau Yip Road, Tseung Kwan O",5078,,,,$201-400,"['Japanese', 'BBQ']"
3169,Tian Jian IZAKAYA 天澗居酒屋,Yuen Long,"G/F, 79&81 Kau Yuk Road, Yuen Long",2897,,,,$201-400,"['Japanese', 'Izakaya']"
3170,Umimachidon (East Point City) 海街丼 (東港城),Tseung Kwan O,"Shop 186, 1/F, East Point City, 8 Chung Wa Road, Tseung Kwan O",4137,,,,$101-200,"['Japanese', 'Sushi/Sashimi']"
3171,FICUS 杦,Tseung Kwan O,"Shop G12, G/F, MONTEREY Place , 23 Tong Chun Street, O'South Coast, Tseung Kwan O",3193,22,2,(40 Reviews),$201-400,"['Japanese', 'Sushi/Sashimi']"
3172,Ca-Tu-Ya 吉豚屋吉列豬扒專門店,Tseung Kwan O,"Shop 2006-7, 2/F, MCP Central, 8 Mau Yip Road, Tseung Kwan O",2662,59,6,(118 Reviews),$51-100,['Japanese']
3173,Nijuuichi Don 廿一堂,Tseung Kwan O,"Shop G08, G/F, PopWalk Phase II, 19 Tong Yin Street, Tseung Kwan O",2039,32,6,(81 Reviews),$51-100,"['Japanese', 'Fast Food']"
3174,Nadai Unatoto Charcoal Grilled Eel Specialty (East Point City) 名代宇奈備長炭燒鰻魚飯專門店 (東港城),Tseung Kwan O,"Shop 196&197A, 1/F, East Point City, 8 Chung Wa Road, Hang Hau, Tseung Kwan O",3062,13,3,(49 Reviews),$51-100,"['Japanese', 'Robatayaki']"
3175,ABURI-EN (The LOHAS) 炙・宴 (康城),Tseung Kwan O,"Shop 306, 3/F, The LOHAS, 1 Lohas Park Road, Tseung Kwan O",829,13,1,(31 Reviews),$101-200,"['Japanese', 'Ramen']"
3176,Mi-Ne Sushi 峰壽司,Tseung Kwan O,"Shop 92-95, 2/F, Tseung Kwan O Plaza, 1 Tong Tak Street, Tseung Kwan O",1135,23,3,(46 Reviews),$101-200,"['Japanese', 'Sushi/Sashimi']"
3177,Nabe Urawa (Park Central) 牛気 (將軍澳中心),Tseung Kwan O,"Shop No. 140-141, 1/F, Park Central, 9 Tong Tak Street, Tseung Kwan O",7606,18,5,(47 Reviews),$101-200,"['Japanese', 'Buffet']"
3178,Butao Ramen (PopCorn) 豚王 (PopCorn),Tseung Kwan O,"Shop G25, G/F, PopCorn, 9 Tong Yin Street, Tseung Kwan O",1542,15,0,(27 Reviews),$51-100,"['Japanese', 'Ramen']"
3179,Betsutenjin 博多拉麵別天神,Tseung Kwan O,"Shop G09, G/F, Metro City Plaza II, 8 Mau Yip Road, Tseung Kwan O",716,13,0,(26 Reviews),$51-100,"['Japanese', 'Ramen']"
3180,Fishing Heya 漁之部屋,Tseung Kwan O,"Shop 101, 1/F, Popwalk, 12 Tong Chun Street, Tseung Kwan O",6194,89,16,(164 Reviews),$201-400,"['Japanese', 'Sushi/Sashimi']"
3181,SHIBA 燒吧,Tseung Kwan O,"Shop 56, G/F, Beverly Garden Shopping Centre,1 Tong Ming Street, Tseung Kwan O",1315,18,0,(22 Reviews),$101-200,"['Japanese', 'Wine']"
3182,GOSO GOSO Bakery,Tseung Kwan O,"UNY, Shop UG036, UG/F, MCP Central , 8 Yan King Road, Tseung Kwan O",1018,11,0,(13 Reviews),Below $50,"['Japanese', 'Bakery']"
